SQL> 
SQL> set lines 500
SQL> 
SQL> select distinct target_type || '|' || metric_name || '|' || metric_label || '|' || column_label
  2  from  mgmt$metric_current
  3  order by 1;

TARGET_TYPE||'|'||METRIC_NAME||'|'||METRIC_LABEL||'|'||COLUMN_LABEL
------------------------------------------------------------------------------------------------
casm_diskgroup_component|DiskGroup_Target_Component|Disk Group Target Component|Disk Count   
cluster|CRSAlert|Clusterware Alert Log|Alert Log Name
cluster|CRSAlert|Clusterware Alert Log|Clusterware Service Alert Log Error 
cluster|CRSAlert|Clusterware Alert Log|Node Configuration Alert Log Error  
cluster|CRSAlert|Clusterware Alert Log|OCR Alert Log Error   
cluster|CRSAlert|Clusterware Alert Log|Voting Disk Alert Log Error 
cluster|CRSStatus|Clusterware Status|Cluster Verification Output 
cluster|CRSStatus|Clusterware Status|Clusterware Status  
cluster|priv_intrcon|Private Interconnect|Private Interconnect Transfer Rate (MB/Sec)   
cluster|resource_status|Resource State|State Change  
composite|Summary Metrics|Summary Metrics|Average: Database Instance Average Active Sessions 
composite|Summary Metrics|Summary Metrics|Average: Host CPU Utilization (%)
composite|Summary Metrics|Summary Metrics|Maximum: Database Instance Average Active Sessions 
composite|Summary Metrics|Summary Metrics|Maximum: Host CPU Utilization (%)
composite|Summary Metrics|Summary Metrics|Minimum: Database Instance Average Active Sessions 
composite|Summary Metrics|Summary Metrics|Minimum: Host CPU Utilization (%)
composite|Summary Metrics|Summary Metrics|Std. Deviation: Database Instance Average Active Sessions  
composite|Summary Metrics|Summary Metrics|Std. Deviation: Host CPU Utilization (%) 
composite|Summary Metrics|Summary Metrics|Sum: Database Instance Average Active Sessions
composite|Summary Metrics|Summary Metrics|Sum: Host CPU Utilization (%)
has|CRSAlert|Oracle High Availability Service Alert Log|Alert Log Name 
has|CRSAlert|Oracle High Availability Service Alert Log|CRS Resource Alert Log Error
has|CRSAlert|Oracle High Availability Service Alert Log|Node Configuration Alert Log Error   
has|CRSAlert|Oracle High Availability Service Alert Log|OCR Alert Log Error
has|CRSAlert|Oracle High Availability Service Alert Log|OLR Alert Log Error
has|CRSAlert|Oracle High Availability Service Alert Log|Oracle High Availability Service Alert Log Error 
has|Response|Response|Oracle High Availability Service Verification Output 
has|Response|Response|Status
host|DiskActivitySummary|Disk Activity Summary|Max Average Disk I/O Service Time (ms) amongst all disks  
host|DiskActivitySummary|Disk Activity Summary|Max Disk I/O (per sec) made by a single disk  
host|DiskActivitySummary|Disk Activity Summary|Total Disk I/O made across all disks (per second) 
host|DiskActivity|Disk Activity|Average Disk I/O Service Time (ms) 
host|DiskActivity|Disk Activity|Average Disk I/O Wait Time (ms)  
host|DiskActivity|Disk Activity|Average Outstanding Disk I/O Requests  
host|DiskActivity|Disk Activity|Average Run Time (ms)
host|DiskActivity|Disk Activity|Bulk IO Ticks   
host|DiskActivity|Disk Activity|Difference in Number of Reads
host|DiskActivity|Disk Activity|Difference in Number of Writes   
host|DiskActivity|Disk Activity|Disk Block Writes (per second)   
host|DiskActivity|Disk Activity|Disk Blocks Transferred (per second)   
host|DiskActivity|Disk Activity|Disk Device Busy (%) 
host|DiskActivity|Disk Activity|Disk Reads (per second)  
host|DiskActivity|Disk Activity|Disk Writes (per second) 
host|DiskActivity|Disk Activity|Transfers (per second)   
host|DiskErrors|Disk Device Errors|Hard Errors  
host|DiskErrors|Disk Device Errors|Soft Errors  
host|DiskErrors|Disk Device Errors|Total
host|DiskErrors|Disk Device Errors|Transport Errors  
host|FileMonitoring|File and Directory Monitoring|File or Directory Attribute Not Found 
host|FileMonitoring|File and Directory Monitoring|File or Directory Permissions 
host|FileMonitoring|File and Directory Monitoring|File or Directory Size (MB)
host|FileMonitoring|File and Directory Monitoring|File or Directory Size Change Rate (KB/minute) 
host|Filesystems|Filesystems|Filesystem 
host|Filesystems|Filesystems|Filesystem Size (MB)    
host|Filesystems|Filesystems|Filesystem Space Available (%)  
host|Filesystems|Filesystems|Filesystem Space Available (MB) 
host|HostStorageSupport|Host Storage Support|Supported   
host|LPAR Performance on AIX|LPAR Performance on AIX|Entitlement consumed (%)
host|LPAR Performance on AIX|LPAR Performance on AIX|Idle %  
host|LPAR Performance on AIX|LPAR Performance on AIX|Physical Processor Consumed
host|LPAR Performance on AIX|LPAR Performance on AIX|Sys %   
host|LPAR Performance on AIX|LPAR Performance on AIX|User %  
host|LPAR Performance on AIX|LPAR Performance on AIX|Wait %  
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Active CPUs in Pool 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Active Physical CPUs in system  
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Capacity Increment  
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Entitled Capacity   
host|LPAR Statistics on AIX|LPAR Statistics on AIX|LPAR Partition Mode 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|LPAR Partition Type 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Maximum Capacity
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Maximum Memory (MB) 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Maximum Physical CPUs in system 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Maximum Virtual CPUs
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Minimum Capacity
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Minimum Memory (MB) 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Minimum Virtual VCPUs   
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Online Memory (MB)  
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Online Virtual CPUs 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Partition Group-ID  
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Partition Name
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Partition Number
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Physical CPU Percentage 
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Shared Pool ID
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Simultaneous Multithreading (SMT)
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Unallocated Capacity
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Unallocated Weight  
host|LPAR Statistics on AIX|LPAR Statistics on AIX|Variable Weight Capacity
host|Load|Load|Active Logical Memory, Kilobytes 
host|Load|Load|Active Memory, Kilobytes 
host|Load|Load|CPU Utilization (%)
host|Load|Load|CPU in I/O Wait (%)
host|Load|Load|CPU in System Mode (%) 
host|Load|Load|CPU in User Mode (%)   
host|Load|Load|Free Memory (%)
host|Load|Load|Logical Free Memory (%)
host|Load|Load|Memory Page Scan Rate (per second)    
host|Load|Load|Memory Utilization (%) 
host|Load|Load|Run Queue Length (1 minute average,per core)  
host|Load|Load|Run Queue Length (15 minute average,per core) 
host|Load|Load|Run Queue Length (5 minute average,per core)  
host|Load|Load|Swap Utilization (%)   
host|Load|Load|Total Processes
host|Load|Load|Total Users  
host|Load|Load|Used Logical Memory (%)
host|LogFileMonitor|Log File Monitor|Log File Pattern Matched Line Count   
host|ME$CHK_PAM_CONFIG|ME$CHK_PAM_CONFIG|File Exist  
host|ME$CHK_PAM_CONFIG|ME$CHK_PAM_CONFIG|Line Count  
host|ME$CHK_PAM_CONFIG|ME$CHK_PAM_CONFIG|Platform    
host|ME$CLUSTER_ALERT_SETUP|CLUSTER_ALERT_SETUP|HOSTNAME 
host|ME$CLUSTER_ALERT|CLUSTER_ALERT|do_maint_files_RAC   
host|ME$CLUSTER_ALERT|CLUSTER_ALERT|inf_rac_crs_alerts_v3
host|ME$CLUSTER_ALERT|CLUSTER_ALERT|trim_alert_log_rac   
host|ME$CLUSTER_ALERT|CLUSTER_ALERT|trim_listener_log
host|ME$Collect_Oratab_Entries|ME$Collect_Oratab_Entries|Start_Flag
host|ME$GG_LAG_ODS_PERF_RIODS01|Goldengate Lag check with script saved in OEM repository|Lag Seconds 
host|ME$GG_Lag_OMS_Perf_TTC_Node3|GG Lag for replicat RIODS01|Lag Seconds  
host|ME$GG_Lag_OMS_Perf_TTC_Node3|GG Lag for replicat RIODS01|Severity Flag
host|ME$Met_ext_test_ver2_z001n1k|metric extension test|created date   
host|ME$ORACLE_ULIMIT|ORACLE_ULIMIT|HOSTNAME
host|ME$ORAPERM_CHECK|ORAPERM_CHECK|COMMENTS
host|ME$ORAUSER_CHECK|ORAUSER_CHECK|GROUPID
host|ME$ORAUSER_CHECK|ORAUSER_CHECK|ORACLE_USER_HOME 
host|ME$ORAUSER_CHECK|ORAUSER_CHECK|USERID 
host|ME$ORA_FILES|ORA_FILES|HOSTNAME  
host|ME$PERM_CHECK|ME$PERM_CHECK|COMMENTS  
host|ME$PERM_CHECK|ME$PERM_CHECK|GROUP
host|ME$PERM_CHECK|ME$PERM_CHECK|OWNER
host|ME$PERM_CHECK|ME$PERM_CHECK|PERMISSION
host|ME$PMON|ME$pmon|Host_Name
host|ME$Testing_GG_Lag_OEMGenericScript_gowrish_deployable|GG Lag - Generic Single Script Gowrish Testing |Lag Seconds  
host|ME$check_Cron_Setup|ME$check_Cron_Setup|Script_Name 
host|ME$check_pmon|ME$check_pmon|Host_Name 
host|NetworkSummary|Network Interfaces Summary|All Network Interfaces Combined Utilization (%)   
host|NetworkSummary|Network Interfaces Summary|All Network Interfaces Read Rate (MB/sec)
host|NetworkSummary|Network Interfaces Summary|All Network Interfaces Read Utilization (%)   
host|NetworkSummary|Network Interfaces Summary|All Network Interfaces Total I/O Rate (MB/sec)
host|NetworkSummary|Network Interfaces Summary|All Network Interfaces Write Rate (MB/sec)    
host|NetworkSummary|Network Interfaces Summary|All Network Interfaces Write Utilization (%)  
host|Network|Network Interfaces|Network Interface Collisions (%) 
host|Network|Network Interfaces|Network Interface Combined Utilization (%) 
host|Network|Network Interfaces|Network Interface Input Errors (%) 
host|Network|Network Interfaces|Network Interface Output Errors (%)
host|Network|Network Interfaces|Network Interface Read (MB/s)
host|Network|Network Interfaces|Network Interface Read Utilization (%) 
host|Network|Network Interfaces|Network Interface Total Error Rate (%) 
host|Network|Network Interfaces|Network Interface Total I/O Rate (MB/sec)  
host|Network|Network Interfaces|Network Interface Write (MB/s)   
host|Network|Network Interfaces|Network Interface Write Utilization (%)
host|PagingActivity|Paging Activity|Active Pages
host|PagingActivity|Paging Activity|Address Translation Page Faults (per second)
host|PagingActivity|Paging Activity|Page Faults from Software Lock Requests
host|PagingActivity|Paging Activity|Page-in Requests (per second)
host|PagingActivity|Paging Activity|Page-out Requests (per second) 
host|PagingActivity|Paging Activity|Pages Paged-in (per second)  
host|PagingActivity|Paging Activity|Pages Paged-out (per second) 
host|PagingActivity|Paging Activity|Pages Put on Freelist by Page Stealing Daemon (per second)   
host|PagingActivity|Paging Activity|Pages Scanned by Page Stealing Daemon (per second)  
host|PagingActivity|Paging Activity|igets with Page Flushes(%)   
host|ProgramResourceUtilization|Program Resource Utilization|Program's Max CPU Time Accumulated (Minutes)
host|ProgramResourceUtilization|Program Resource Utilization|Program's Max CPU Utilization (%)   
host|ProgramResourceUtilization|Program Resource Utilization|Program's Max Process Count
host|ProgramResourceUtilization|Program Resource Utilization|Program's Max Resident Memory (MB)  
host|ProgramResourceUtilization|Program Resource Utilization|Program's Min Process Count
host|ProgramResourceUtilization|Program Resource Utilization|Program's Total CPU Time Accumulated (Minutes)
host|ProgramResourceUtilization|Program Resource Utilization|Program's Total CPU Utilization (%) 
host|Swap_Area_Status|Swap Area Status|Swap Free
host|Swap_Area_Status|Swap Area Status|Swap Size
host|TotalDiskUsage|Total Disk Usage|Total Disk Available (%) (across all local filesystems) 
host|TotalDiskUsage|Total Disk Usage|Total Disk Size (across all local filesystems in MB)    
host|TotalDiskUsage|Total Disk Usage|Total Disk Space Available (across all local filesystems in MB) 
host|TotalDiskUsage|Total Disk Usage|Total Disk Space Utilized (across all local filesystems in MB)  
host|TotalDiskUsage|Total Disk Usage|Total Disk Utilized (%) (across all local filesystems)  
host|proc_zombie|Zombie Processes|% of Processes in Zombie State 
host|proc_zombie|Zombie Processes|Processes in Zombie State (%)  
j2ee_application|Response|Response|UpDown Status
j2ee_application|adfc_taskflow_request_proc_time|ADFC Taskflow request processing time (ms)|Average Request Processing Time (ms) 
j2ee_application|adfc_taskflow_split|ADFC Taskflow Metrics|Active Taskflows (per minute)
j2ee_application|adfc_taskflow_split|ADFC Taskflow Metrics|Entered Taskflows (per minute)    
j2ee_application|adfc_taskflow_split|ADFC Taskflow Metrics|Invoked Taskflows (per minute)    
j2ee_application|adfc_taskflow_split|ADFC Taskflow Metrics|Taskflow Invoke time (ms)
j2ee_application|ampool|ADF Application Module Pools|Activations (per minute)
j2ee_application|ampool|ADF Application Module Pools|Active Instances  
j2ee_application|ampool|ADF Application Module Pools|Available Instances   
j2ee_application|ampool|ADF Application Module Pools|Average Creation Time (ms) 
j2ee_application|ampool|ADF Application Module Pools|Instances Created (per minute)
j2ee_application|ampool|ADF Application Module Pools|Instances Removed (per minute)
j2ee_application|ampool|ADF Application Module Pools|Passivations (per minute)
j2ee_application|ampool|ADF Application Module Pools|Pool Check Out Failures (per minute)    
j2ee_application|ampool|ADF Application Module Pools|Pool Check Outs (per minute)  
j2ee_application|ampool|ADF Application Module Pools|Pool check Ins (per minute)
j2ee_application|ampool|ADF Application Module Pools|Referenced Modules Recycled (per minute)
j2ee_application|ampool|ADF Application Module Pools|Referenced Modules Reused (per minute)  
j2ee_application|ampool|ADF Application Module Pools|Requests (per minute) 
j2ee_application|ampool|ADF Application Module Pools|Unreferenced Modules Recycled (per minute)  
